record_id,engineer_id,skill,resolution_hours,was_multi_skill,was_swarming,role_in_swarming,priority,outcome
H0173,E010,monitoring,1.42,False,False,,P1,resolved
H0174,E010,monitoring,1.57,False,False,,P3,escalated
H0175,E010,monitoring,1.72,False,False,,P2,resolved
H0176,E010,monitoring,1.17,False,False,,P3,resolved
H0177,E010,monitoring,0.73,False,False,,P1,escalated
H0178,E010,monitoring,2.11,False,False,,P3,resolved
H0179,E010,monitoring,0.94,False,False,,P1,resolved
H0180,E010,monitoring,2.01,False,False,,P3,resolved_with_workaround
H0181,E011,monitoring,0.75,False,False,,P3,resolved
H0182,E011,monitoring,0.97,False,False,,P3,resolved
H0183,E011,monitoring,1.4,False,False,,P1,resolved_with_workaround
H0184,E011,monitoring,1.43,False,False,,P3,escalated
H0185,E011,monitoring,1.32,False,False,,P3,resolved
H0186,E011,monitoring,1.16,False,False,,P3,resolved
H0187,E011,monitoring,0.98,False,False,,P4,escalated
H0188,E011,monitoring,1.29,False,False,,P3,resolved
H0189,E011,monitoring,1.52,False,False,,P2,resolved
H0190,E011,helpdesk,0.57,False,False,,P4,resolved_with_workaround
H0191,E011,helpdesk,0.52,False,False,,P4,escalated
H0192,E011,helpdesk,0.32,False,False,,P3,resolved
H0193,E011,helpdesk,0.33,False,False,,P2,resolved
H0194,E011,helpdesk,0.76,True,True,support,P1,resolved
H0195,E011,helpdesk,0.6,True,False,,P3,resolved_with_workaround
H0196,E011,helpdesk,0.54,False,False,,P3,resolved
H0197,E011,helpdesk,0.36,False,False,,P4,escalated
H0198,E011,helpdesk,0.59,False,False,,P3,resolved
H0199,E011,helpdesk,0.58,False,False,,P3,resolved
H0200,E012,monitoring,1.28,False,False,,P2,escalated
H0201,E012,monitoring,1.42,False,False,,P2,resolved
H0202,E012,monitoring,1.66,False,False,,P2,escalated
H0203,E012,monitoring,0.82,False,False,,P4,resolved
H0204,E012,monitoring,1.67,False,False,,P4,resolved
H0205,E012,monitoring,2.25,True,False,support,P4,escalated
H0206,E012,monitoring,0.63,False,False,,P3,resolved
H0207,E012,network,1.73,False,False,,P2,resolved
H0208,E012,network,1.87,False,False,,P4,resolved
H0209,E012,network,4.04,False,False,,P4,resolved
H0210,E012,network,1.27,False,False,,P3,resolved_with_workaround
H0211,E012,network,1.0,False,False,,P2,resolved
H0212,E012,network,3.45,True,False,,P3,resolved
H0213,E012,network,2.97,False,False,,P3,escalated
H0214,E012,network,3.43,True,True,lead,P3,resolved
H0215,E012,infra,3.38,False,False,,P4,resolved
H0216,E012,infra,2.3,False,False,,P4,resolved_with_workaround
H0217,E012,infra,2.55,False,False,,P3,resolved
H0218,E012,infra,1.32,False,False,,P3,resolved_with_workaround
H0219,E012,infra,2.68,False,False,,P3,escalated
H0220,E012,infra,2.04,False,False,,P2,resolved
H0221,E013,app_support,1.21,False,False,,P3,resolved
H0222,E013,app_support,2.09,True,False,,P4,escalated
H0223,E013,app_support,0.87,False,False,,P1,escalated
H0224,E013,app_support,1.25,False,False,,P1,escalated
H0225,E013,app_support,0.96,False,False,,P3,resolved
H0226,E013,app_support,1.13,False,False,,P2,resolved_with_workaround
H0227,E013,monitoring,0.84,False,False,,P4,resolved
H0228,E013,monitoring,1.24,True,False,lead,P4,escalated
H0229,E013,monitoring,0.81,False,False,,P1,resolved
H0230,E013,monitoring,1.74,True,False,,P4,resolved
H0231,E013,monitoring,1.08,False,False,,P3,resolved
H0232,E013,monitoring,0.81,False,False,,P1,resolved
H0233,E013,monitoring,1.69,True,False,support,P3,resolved
H0234,E013,monitoring,1.05,False,False,,P1,resolved
H0235,E013,monitoring,1.37,False,False,,P4,resolved
H0236,E013,network,1.62,False,False,,P3,resolved
H0237,E013,network,1.87,True,True,,P3,escalated
H0238,E013,network,2.43,False,False,,P3,resolved
H0239,E013,network,2.27,False,False,,P4,resolved_with_workaround
H0240,E013,network,2.0,False,False,,P1,resolved
H0241,E014,infra,3.08,False,False,,P4,resolved
H0242,E014,infra,1.28,False,False,,P1,resolved
H0243,E014,infra,2.78,True,False,support,P3,resolved
H0244,E014,infra,2.2,False,False,,P1,resolved_with_workaround
H0245,E014,infra,1.65,False,False,,P3,resolved
H0246,E014,infra,1.3,False,False,,P3,resolved
H0247,E014,infra,1.25,False,False,,P3,resolved
H0248,E014,infra,1.56,False,False,,P3,resolved
H0249,E014,infra,1.77,False,False,,P2,resolved
H0250,E014,infra,1.45,False,False,,P4,resolved
H0251,E014,app_support,1.48,False,False,,P3,escalated
H0252,E014,app_support,2.46,True,False,,P3,resolved
H0253,E014,app_support,1.47,False,False,,P1,resolved
H0254,E014,app_support,1.58,False,False,,P3,resolved
H0255,E014,app_support,1.59,False,False,,P2,escalated
H0256,E014,app_support,1.45,False,False,,P3,resolved
H0257,E014,app_support,1.25,False,False,,P4,resolved_with_workaround
H0258,E014,app_support,1.28,False,False,,P1,resolved
H0259,E014,app_support,1.6,False,False,,P3,escalated
H0260,E014,app_support,1.13,False,False,,P3,resolved
H0261,E015,infra,1.51,False,False,,P3,resolved
H0262,E015,infra,1.88,False,False,,P2,resolved
H0263,E015,infra,1.44,False,False,,P2,resolved
H0264,E015,infra,2.18,True,False,,P1,resolved
H0265,E015,infra,1.89,False,False,,P3,resolved
H0266,E015,infra,1.11,False,False,,P4,resolved
H0267,E015,infra,2.0,False,False,,P2,resolved
H0268,E015,infra,3.44,False,False,,P3,resolved_with_workaround
H0269,E015,infra,1.33,False,False,,P3,resolved
H0270,E015,infra,2.94,False,False,,P2,resolved
H0271,E015,app_support,0.93,False,False,,P3,resolved
H0272,E015,app_support,1.32,True,False,,P3,escalated
H0273,E015,app_support,1.54,False,False,,P4,resolved
H0274,E015,app_support,3.16,True,True,,P4,escalated
H0275,E015,app_support,1.69,False,False,,P1,resolved
H0276,E015,app_support,0.8,False,False,,P3,resolved
H0277,E015,app_support,2.17,False,False,,P3,resolved
H0278,E015,app_support,1.36,False,False,,P1,resolved
H0279,E015,app_support,1.86,False,False,,P3,resolved
H0280,E015,monitoring,1.28,False,False,,P3,resolved
H0281,E015,monitoring,1.08,False,False,,P4,resolved
H0282,E015,monitoring,0.99,False,False,,P3,resolved
H0283,E015,monitoring,2.78,True,True,lead,P3,escalated
H0284,E015,monitoring,1.18,False,False,,P4,resolved
H0285,E015,monitoring,1.31,False,False,,P1,escalated
H0286,E015,monitoring,1.58,False,False,,P1,resolved
H0287,E015,monitoring,1.55,True,False,,P4,resolved
H0288,E016,app_support,1.95,True,False,,P3,resolved
H0289,E016,app_support,1.94,False,False,,P4,resolved
H0290,E016,app_support,1.27,False,False,,P4,resolved
H0291,E016,app_support,1.58,False,False,,P4,resolved
H0292,E016,app_support,2.0,False,False,,P2,resolved
H0293,E016,app_support,1.03,False,False,,P4,resolved
H0294,E016,app_support,2.1,False,False,,P3,resolved
H0295,E016,app_support,2.55,False,False,,P3,resolved
H0296,E016,app_support,1.42,False,False,,P2,resolved
H0297,E016,helpdesk,0.62,False,False,,P4,resolved
H0298,E016,helpdesk,1.06,True,False,lead,P4,resolved_with_workaround
H0299,E016,helpdesk,0.47,False,False,,P3,resolved
H0300,E016,helpdesk,0.26,False,False,,P2,resolved_with_workaround
H0301,E016,helpdesk,0.4,False,False,,P4,resolved
H0302,E016,helpdesk,1.12,True,False,lead,P4,resolved_with_workaround
H0303,E017,app_support,1.33,False,False,,P4,resolved_with_workaround
H0304,E017,app_support,1.09,False,False,,P3,resolved
H0305,E017,app_support,1.7,False,False,,P3,resolved
H0306,E017,app_support,1.53,False,False,,P2,resolved
H0307,E017,app_support,0.98,False,False,,P1,resolved
H0308,E017,app_support,1.03,False,False,,P4,resolved_with_workaround
H0309,E017,app_support,1.18,False,False,,P4,resolved
H0310,E017,app_support,1.11,False,False,,P3,resolved
H0311,E017,monitoring,1.74,True,True,lead,P3,escalated
H0312,E017,monitoring,1.43,False,False,,P2,resolved
H0313,E017,monitoring,1.46,True,False,,P3,escalated
H0314,E017,monitoring,0.93,False,False,,P3,resolved
H0315,E017,monitoring,0.94,False,False,,P1,resolved
H0316,E017,monitoring,1.03,False,False,,P3,resolved
H0317,E017,monitoring,1.1,False,False,,P4,resolved
H0318,E017,monitoring,1.31,False,False,,P3,resolved
H0319,E018,network,2.01,False,False,,P1,resolved
H0320,E018,network,2.06,True,False,support,P3,resolved
H0321,E018,network,3.53,True,True,support,P3,escalated
H0322,E018,network,2.14,False,False,,P3,escalated
H0323,E018,network,2.0,False,False,,P1,resolved
H0324,E018,network,1.63,False,False,,P1,resolved
H0325,E018,network,1.85,False,False,,P3,resolved
H0326,E018,network,1.31,False,False,,P1,resolved
H0327,E018,network,2.09,False,False,,P3,resolved
H0328,E018,network,1.63,False,False,,P2,resolved
H0329,E018,app_support,1.94,False,False,,P4,resolved_with_workaround
H0330,E018,app_support,1.51,False,False,,P4,resolved
H0331,E018,app_support,1.68,False,False,,P4,resolved
H0332,E018,app_support,1.72,False,False,,P3,resolved
H0333,E018,app_support,1.95,False,False,,P3,resolved
H0334,E018,app_support,1.71,False,False,,P4,resolved
H0335,E018,infra,4.87,True,True,lead,P1,resolved
H0336,E018,infra,1.88,False,False,,P3,escalated
H0337,E018,infra,1.68,False,False,,P4,escalated
H0338,E018,infra,2.24,False,False,,P3,resolved
H0339,E018,infra,2.45,False,False,,P3,resolved
H0340,E018,infra,1.44,False,False,,P1,resolved
H0341,E018,infra,4.42,True,True,lead,P2,resolved
H0342,E018,infra,1.52,False,False,,P3,resolved_with_workaround
H0343,E019,infra,3.89,True,True,support,P3,resolved
H0344,E019,infra,1.88,False,False,,P3,escalated
H0345,E019,infra,1.09,False,False,,P1,resolved
H0346,E019,infra,2.19,False,False,,P2,resolved
H0347,E019,infra,2.2,False,False,,P1,escalated
H0348,E019,infra,1.98,False,False,,P3,resolved
H0349,E019,infra,1.63,False,False,,P3,resolved
H0350,E019,infra,2.77,False,False,,P2,resolved
H0351,E019,network,2.2,False,False,,P2,resolved
H0352,E019,network,1.11,False,False,,P1,resolved
H0353,E019,network,2.46,False,False,,P2,resolved
H0354,E019,network,1.55,False,False,,P3,escalated
H0355,E019,network,1.85,False,False,,P3,escalated
H0356,E019,monitoring,1.72,False,False,,P3,resolved
H0357,E019,monitoring,1.14,False,False,,P3,escalated
H0358,E019,monitoring,0.58,False,False,,P4,resolved
H0359,E019,monitoring,1.19,False,False,,P4,resolved
H0360,E019,monitoring,2.03,True,False,lead,P3,escalated
H0361,E019,monitoring,1.37,False,False,,P4,resolved
H0362,E019,monitoring,1.35,False,False,,P3,resolved
H0363,E020,infra,2.09,True,True,lead,P2,resolved
H0364,E020,infra,2.21,False,False,,P4,escalated
H0365,E020,infra,1.61,False,False,,P1,resolved
H0366,E020,infra,1.87,False,False,,P3,escalated
H0367,E020,infra,2.23,False,False,,P3,resolved
H0368,E020,network,2.51,False,False,,P4,resolved
H0369,E020,network,3.89,False,False,,P4,resolved
H0370,E020,network,1.12,False,False,,P3,escalated
H0371,E020,network,1.88,False,False,,P4,resolved
H0372,E020,network,1.77,False,False,,P3,resolved_with_workaround
H0373,E020,network,3.11,False,False,,P3,resolved
H0374,E021,network,1.03,False,False,,P4,resolved
H0375,E021,network,1.02,False,False,,P3,resolved_with_workaround
H0376,E021,network,1.12,False,False,,P3,resolved
H0377,E021,network,1.02,False,False,,P3,resolved
H0378,E021,network,2.01,False,False,,P4,resolved
H0379,E021,network,2.08,True,True,support,P3,resolved_with_workaround
H0380,E021,network,0.99,False,False,,P4,resolved
H0381,E021,network,2.05,False,False,,P4,escalated
H0382,E021,network,1.23,True,True,lead,P3,resolved
H0383,E021,network,1.56,False,False,,P2,escalated
H0384,E021,iot,1.58,False,False,,P3,resolved
H0385,E021,iot,1.02,False,False,,P1,resolved
H0386,E021,iot,3.2,True,False,lead,P2,resolved
H0387,E021,iot,1.4,False,False,,P3,resolved
H0388,E021,iot,2.06,True,False,support,P3,resolved
H0389,E021,iot,0.98,False,False,,P2,resolved
H0390,E021,iot,1.19,False,False,,P4,resolved
H0391,E021,iot,1.71,False,False,,P3,resolved
H0392,E021,iot,2.08,False,False,,P3,resolved
H0393,E021,infra,1.32,False,False,,P2,resolved
H0394,E021,infra,0.9,False,False,,P1,escalated
H0395,E021,infra,1.56,True,True,support,P1,resolved
H0396,E021,infra,1.15,False,False,,P2,resolved
H0397,E021,infra,1.2,False,False,,P2,resolved
H0398,E021,infra,1.35,False,False,,P4,resolved
H0399,E021,infra,0.93,False,False,,P4,resolved
H0400,E021,infra,1.5,True,False,,P3,resolved_with_workaround
H0401,E022,container,1.18,False,False,,P3,resolved_with_workaround
H0402,E022,container,1.18,False,False,,P3,resolved
H0403,E022,container,1.3,False,False,,P3,resolved
H0404,E022,container,1.09,False,False,,P3,resolved
H0405,E022,container,2.41,True,True,lead,P4,resolved_with_workaround
H0406,E022,cloud,1.27,False,False,,P4,resolved_with_workaround
H0407,E022,cloud,1.37,False,False,,P3,resolved_with_workaround
H0408,E022,cloud,1.59,False,False,,P2,resolved
H0409,E022,cloud,1.32,False,False,,P2,resolved
H0410,E022,cloud,2.9,True,False,lead,P4,resolved_with_workaround
H0411,E022,cloud,0.94,False,False,,P1,resolved
H0412,E022,helpdesk,0.53,False,False,,P3,resolved_with_workaround
H0413,E022,helpdesk,0.22,False,False,,P3,resolved
H0414,E022,helpdesk,0.54,True,False,,P4,resolved
H0415,E022,helpdesk,0.46,True,False,lead,P4,escalated
H0416,E022,helpdesk,0.31,False,False,,P3,resolved
H0417,E022,helpdesk,0.48,True,True,support,P3,resolved
H0418,E022,security,1.6,False,False,,P2,resolved
H0419,E022,security,2.31,False,False,,P3,resolved
H0420,E022,security,2.73,False,False,,P1,resolved
H0421,E022,security,2.78,True,False,support,P1,resolved
H0422,E022,security,2.48,True,True,support,P3,resolved
H0423,E022,security,2.41,True,True,,P3,resolved
H0424,E022,security,1.61,False,False,,P4,resolved
H0425,E022,security,1.48,False,False,,P4,resolved_with_workaround
H0426,E022,security,1.18,False,False,,P2,escalated
H0427,E022,security,1.55,False,False,,P3,escalated
H0428,E023,security,1.69,False,False,,P1,escalated
H0429,E023,security,2.57,False,False,,P2,resolved
H0430,E023,security,1.13,False,False,,P3,resolved
H0431,E023,security,1.57,False,False,,P4,resolved_with_workaround
H0432,E023,security,1.13,False,False,,P3,resolved
H0433,E023,security,2.07,False,False,,P2,resolved
H0434,E023,security,1.76,True,False,,P3,resolved
H0435,E023,security,1.14,False,False,,P4,escalated
H0436,E023,security,1.16,False,False,,P1,resolved
H0437,E023,app_support,0.39,False,False,,P3,escalated
H0438,E023,app_support,1.18,True,True,support,P4,resolved
H0439,E023,app_support,0.96,False,False,,P4,resolved_with_workaround
H0440,E023,app_support,1.03,False,False,,P4,resolved
H0441,E023,app_support,0.61,False,False,,P3,resolved
H0442,E023,app_support,0.62,False,False,,P2,resolved
H0443,E023,app_support,0.88,False,False,,P2,resolved
H0444,E023,cloud,1.95,True,False,lead,P1,resolved
H0445,E023,cloud,0.84,False,False,,P1,escalated
H0446,E023,cloud,1.72,False,False,,P1,resolved
H0447,E023,cloud,1.11,False,False,,P4,resolved_with_workaround
H0448,E023,cloud,1.02,False,False,,P1,escalated
H0449,E023,cloud,0.78,False,False,,P4,resolved
H0450,E023,database,2.03,False,False,,P3,resolved
H0451,E023,database,1.1,False,False,,P2,resolved
H0452,E023,database,1.09,False,False,,P3,escalated
H0453,E023,database,1.14,False,False,,P3,resolved_with_workaround
H0454,E023,database,0.86,False,False,,P4,resolved
H0455,E023,database,1.22,False,False,,P4,resolved
H0456,E023,database,1.07,False,False,,P3,escalated
H0457,E023,database,1.4,False,False,,P3,resolved
H0458,E023,database,1.14,False,False,,P1,resolved
H0459,E024,container,1.6,False,False,,P2,resolved
H0460,E024,container,0.94,False,False,,P1,resolved
H0461,E024,container,0.91,False,False,,P4,resolved
H0462,E024,container,0.88,False,False,,P2,resolved_with_workaround
H0463,E024,container,1.6,False,False,,P3,resolved
H0464,E024,network,2.43,True,True,support,P1,resolved
H0465,E024,network,1.02,False,False,,P3,resolved
H0466,E024,network,0.73,False,False,,P4,resolved
H0467,E024,network,1.28,False,False,,P3,resolved
H0468,E024,network,0.94,False,False,,P3,resolved
H0469,E024,network,2.46,False,False,,P3,escalated
H0470,E024,network,2.89,True,True,support,P2,resolved
H0471,E024,app_support,1.83,True,False,support,P4,resolved
H0472,E024,app_support,1.28,False,False,,P3,resolved
H0473,E024,app_support,0.79,False,False,,P1,resolved
H0474,E024,app_support,1.37,False,False,,P3,resolved
H0475,E024,app_support,0.71,False,False,,P1,escalated
H0476,E024,app_support,3.09,True,True,lead,P3,resolved
H0477,E024,app_support,1.16,False,False,,P1,resolved
H0478,E024,infra,0.99,False,False,,P3,resolved
H0479,E024,infra,1.19,False,False,,P3,resolved
H0480,E024,infra,1.67,False,False,,P3,escalated
H0481,E024,infra,1.37,False,False,,P2,resolved_with_workaround
H0482,E024,infra,1.49,True,False,,P3,escalated
H0483,E024,infra,1.13,False,False,,P2,resolved
H0484,E025,network,1.41,False,False,,P3,resolved
H0485,E025,network,1.16,False,False,,P1,resolved
H0486,E025,network,2.12,False,False,,P3,resolved
H0487,E025,network,1.13,False,False,,P4,resolved
H0488,E025,network,1.17,False,False,,P3,resolved
H0489,E025,network,1.22,False,False,,P4,resolved
H0490,E025,security,1.0,False,False,,P2,escalated
H0491,E025,security,1.62,False,False,,P3,resolved
H0492,E025,security,0.98,False,False,,P1,resolved
H0493,E025,security,1.54,False,False,,P3,resolved
H0494,E025,security,0.93,False,False,,P4,escalated
H0495,E025,security,0.52,False,False,,P3,resolved
H0496,E025,security,1.89,False,False,,P4,resolved
H0497,E025,iot,2.89,True,False,,P1,resolved
H0498,E025,iot,0.95,False,False,,P3,resolved
H0499,E025,iot,1.6,False,False,,P1,resolved
H0500,E025,iot,1.67,False,False,,P2,resolved
H0501,E025,iot,2.64,True,True,support,P3,escalated
H0502,E025,iot,1.16,False,False,,P2,resolved
